Nome do alimento,Hidratos de carbono (CHO)
Costeleta de porco meio gorda estufada com azeite e margarina,0.7
Costeleta de porco meio gorda estufada com margarina,0.7
Costeleta de porco meio gorda estufada com óleo alimentar e banha,0.7
"Costeleta de porco meio gorda estufada, sem molho",0
Costeleta de porco meio gorda grelhada,0
Costeleta de porco meio gorda panada,8.6
Costeleta de vitela crua,0
Costeleta de vitela frita,3.4
Costeleta de vitela frita com margarina,0
"Costeleta de vitela frita, sem molho",0
Costeleta de vitela grelhada,0
Costeleta ou perna assada de borrego com azeite e margarina,0
Costeleta ou perna assada de borrego com margarina,0
"Costeleta ou perna assada de borrego, sem molho",0
Costeleta ou perna cozida de borrego,0
Costeleta ou perna crua de borrego,0
Costeleta ou perna de borrego estufada com azeite e margarina,1.6
Costeleta ou perna de borrego estufada com margarina,1.6
"Costeleta ou perna de borrego estufada, sem molho",0
"Costeleta ou perna de borrego frita com margarina, sem molho",0
Costeleta ou perna de borrego grelhada,0
"Costeleta ou perna de carneiro magra frita com margarina, sem molho",0
Courgette crua,2
Courgette frita com óleo alimentar,2.5
Couve-flor cozida,2.3
Couve-flor crua,3.3
Couve branca cozida,2.2
Couve branca crua,3.5
Couve de Bruxelas cozida,3.5
Couve de Bruxelas crua,4
Couve galega cozida,2.9
Couve galega crua,3.1
Couve lombarda cozida,1.4
Couve lombarda crua,2.1
Couve portuguesa cozida,2.5
Couve portuguesa crua,3.5
Couve roxa crua,3.9
Cozido à portuguesa,3.8
Cozido à portuguesa com grão,20.5
Creme de camarão,1.7
Creme de camarão com natas,1.9
Creme de ervilhas,3
Creme para barrar de cacau e avelãs (8 marcas),54.7
"Creme vegetal culinário, 75% gordura, sem sal",0.4
"Creme vegetal para barrar  72% gordura, 33% ácidos gordos polinsaturados",0.4
"Creme vegetal para barrar 35% gordura, com fitosteróis",3.2
Creme vegetal para barrar 37% gordura,0.2
"Creme vegetal para barrar 58% gordura, com cálcio",0.5
"Creme vegetal para barrar 70% gordura, 53% ácidos gordos monoinsaturados",0.5
"Creme vegetal para barrar 70% gordura, com sal",0.3
Croissant,42.2
Croquete,23.1
Croquete de carne de vaca meio-gorda,19.1
Cubo de carne de galinha para caldo,9
Cubo de carne de vaca para caldo,8
Damasco,8.5
Damasco seco,41.2
"Damasco, conserva em calda de açúcar",39.3
Dióspiro,14.8
Doce de cereja,64.9
Doce de damasco,57.4
Doce de framboesa,59.7
Doce de ginja,64.8
Doce de maçã,59
Doce de morango,60.5
Doce de pêssego,51.3
Dourada cozida,0
Dourada crua,0
Dourada grelhada,0
Éclair de chocolate,36.5
Empada,33.9
Empada de carne - massa,55.2
Empada de carne - recheio,0.7
Empadão de atum,11.2
Empadão de bacalhau,10.9
Empadão de carne com manteiga,10.7
Empadão de carne com margarina,10.7
Empadão de carne guisada,10.9
Empadão de peixe,11
Enguia crua,0
Enguia frita,3.2
Entrecosto de porco cozido,0
Entrecosto de porco cru,0
Entrecosto de porco estufado com azeite e banha,0.7
Entrecosto de porco estufado com azeite e margarina,0.7
Entrecosto de porco estufado com margarina,0.7
Entrecosto de porco estufado com óleo alimentar e banha,0.7
"Entrecosto de porco estufado, sem molho",0
Entrecostode porco grelhado,0
Ervilhas estufadas,9.6
Ervilhas secas cozidas,18.1
Ervilhas secas cruas,49.4
"Ervilhas, grão, congeladas cozidas",7.5
"Ervilhas, grão, congeladas cruas",7
"Ervilhas, grão, frescas cozidas",7.9
"Ervilhas, grão, frescas cruas",8.6
"Ervilhas, vagens cozidas",3.5
"Ervilhas, vagens cruas",3.9
Espadarte cru,0
Espadarte grelhado,0
Espargos cozidos,2.2
Espargos crus,2.7
Esparguete cozido,19.9
Esparguete cru,71.1
Esparguete estufado com cenoura e azeite,17.6
Esparguete estufado com cenoura e margarina,17.6
Espetada de porco grelhada,1.3
Espetada de vaca grelhada,0.8
Espinafres crus,0.8
"Farelo de trigo tipo ""All-Bran""",39.8
Farinha de alfarroba,85.6
Farinha de centeio tipo 70,78.5
Farinha de centeio tipo 85,76
Farinha de milho tipo 70,75.3
Farinha de pau (mandioca),84.6
Farinha de trigo integral,65.2
Farinha de trigo tipo 150,73
Farinha de trigo tipo 55,74.3
"Farinha láctea 5 frutos tipo ""Cerelac"" (com farinha de trigo)",65
"Farinha láctea maçãs tipo ""Cerelac"" (com farinha de trigo)",66
"Farinha láctea tipo ""Cerelac"" (com farinha de trigo)",68
Farinheira cozida sem adição de sal,26.4
Farinheira crua,26.7
Favada à portuguesa,8.4
Favas frescas cozidas,7.4
Favas frescas cruas,8.5
Favas secas cozidas (demolhadas),10.7
Favas secas cruas,32.8
Feijão branco cozido (demolhado),14.6
Feijão branco cru,43.9
Feijão frade (feijão miúdo) cozido (demolhado),18.1
Feijão frade (feijão miúdo) cru,55.3
Feijão manteiga cozido (demolhado),14
Feijão manteiga cru,42.6
"Feijão manteiga, ""burger"" de feijão frito com azeite",19.8
"Feijão manteiga, ""burger"" de feijão frito com óleo de milho",19.8
Feijão verde fresco cozido,3.5
Feijão verde fresco cru,3.8
Feijoada com carne de porco,13.3
Feijoada com carne de porco e de vaca,13.3
Feijoada com enchidos e ovos,14.1
Fermento em pó,34.4
Fermento fresco de padeiro,1
Fermento seco de padeiro,3.2
"Fiambre, pá",0
"Fiambre, peito de frango",2.8
"Fiambre, peito de peru",2.6
"Fiambre, perna",0
"Fígado de porco, cru",0
"Fígado de porco, frito com margarina e banha",0
"Fígado de porco, frito, sem molho",0
"Fígado de porco, grelhado",0
"Fígado de vaca, cru",2.1
"Fígado de vaca, frito, sem molho",2.5
"Fígado de vitela, cru",1.5
"Fígado de vitela, frito com banha e manteiga",1.7
"Fígado de vitela, frito, sem molho",1.5
"Fígado de vitela, grelhado",1.9
"Fígado, paté caseiro de aves",4.6
Figo (5 variedades),16.3
Figo cristalizado,71.2
Figo seco,58.3
Filetes de bacalhau fritos,5.1
Flocos de arroz,83.4
Flocos de aveia,61.7
"Flocos de cereais e frutos secos tipo ""Muesli""",69.1
"Flocos de milho tipo ""Corn Flakes""",81.1
Flocos de trigo,69
"Flocos de trigo com figos tipo ""Nestum""",76.3
"Flocos de trigo com mel tipo ""Nestum""",84.6
"Flocos de trigo e arroz enriquecidos com vitaminas, cálcio e ferro",79.2
"Flocos de trigo integral tipo ""All-Bran Flakes""",64.2
Framboesa,5.1
Francesinha,6.5
"Frango (1/4 de frango), peito e asa com pele cozido",0
